subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,account_name,industry,country,referral_source,is_trial_y,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,tenure_months,ltv_realized,churn_risk_score,risk_tier
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,False,False,False,True,monthly,True,Company_224,DevTools,UK,event,False,,,,,,16.2,92200.0,0.17,Low
S-0f6f44,A-9b9fe9,2024-06-11,,Pro,17,833,9996,False,False,False,False,monthly,True,Company_71,EdTech,AU,other,False,2024-09-04,features,0.0,False,False,2.96,61072.0,,
S-51c0d1,A-659280,2024-11-25,,Enterprise,62,0,0,True,True,False,False,annual,False,Company_417,FinTech,IN,event,True,2024-11-22,pricing,27.75,False,False,,,,
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,False,False,False,True,monthly,True,Company_295,Cybersecurity,US,event,False,2024-09-08,support,0.0,True,False,2.53,42159.0,,
S-cff5a2,A-ba6516,2024-01-10,,Enterprise,27,5373,64476,False,False,False,False,monthly,True,Company_154,FinTech,US,ads,False,2024-03-17,budget,0.0,False,False,4.6,163156.0,,
S-4b9b13,A-fa2041,2024-08-13,,Pro,15,735,8820,False,False,False,False,monthly,True,Company_211,HealthTech,US,organic,True,2024-07-13,competitor,0.0,False,False,,,,
S-dceac6,A-417d2f,2023-12-30,,Enterprise,4,796,9552,False,False,False,False,annual,True,Company_285,Cybersecurity,IN,partner,True,2024-12-30,budget,0.0,False,False,,,,
S-8cad7b,A-5f2961,2024-12-23,,Basic,16,304,3648,False,False,False,False,annual,True,Company_284,HealthTech,US,partner,False,2024-11-28,pricing,6.6,False,False,0.2,9354.0,,
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577,54924,False,False,False,False,annual,False,Company_482,DevTools,US,ads,False,2024-09-12,budget,0.0,True,False,2.89,45334.0,,
S-d0c344,A-80eeb6,2024-10-27,,Pro,22,1078,12936,False,False,False,False,annual,False,Company_402,Cybersecurity,UK,organic,False,2023-10-19,features,0.0,False,False,5.35,563449.0,,
S-477506,A-f03140,2024-02-06,,Pro,27,1323,15876,False,False,False,False,annual,True,Company_209,DevTools,IN,event,True,2024-10-03,competitor,0.0,False,False,,,,
S-79a9e1,A-3a5ad8,2024-12-25,,Enterprise,22,0,0,True,False,False,False,annual,True,Company_94,HealthTech,US,organic,True,,,,,,,,,
S-59dc4b,A-f17767,2023-09-17,,Pro,26,1274,15288,False,True,True,False,monthly,True,Company_123,DevTools,US,event,True,2023-05-03,pricing,0.0,True,False,,,,
S-7acd8b,A-7920cc,2024-07-17,,Basic,39,741,8892,False,False,False,False,annual,True,Company_412,Cybersecurity,FR,ads,False,,,,,,13.27,264996.0,0.21,Low
S-428e9a,A-8ae3fc,2024-10-12,,Enterprise,88,0,0,True,False,False,False,monthly,True,Company_495,DevTools,CA,ads,False,2024-08-10,budget,0.0,False,False,1.41,14810.0,,
S-486088,A-0cc442,2024-09-18,,Pro,45,2205,26460,False,False,False,False,monthly,True,Company_198,EdTech,US,organic,False,2024-10-23,budget,59.52,False,False,0.07,149417.0,,
S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,Company_169,HealthTech,IN,other,False,2024-12-07,features,0.0,False,False,19.22,243913.0,,
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,Company_274,EdTech,US,partner,False,2024-11-20,support,0.0,False,False,8.67,46373.0,,
S-37e3ad,A-b30291,2024-04-25,,Basic,5,95,1140,False,False,False,False,monthly,True,Company_344,HealthTech,US,event,True,2024-09-03,competitor,277.54,False,True,,,,
S-b17d04,A-e19ff6,2024-03-06,,Pro,8,392,4704,False,False,False,False,monthly,True,Company_411,Cybersecurity,UK,partner,False,2024-04-18,unknown,0.0,False,False,5.39,23651.0,,
S-c27134,A-dec005,2024-03-31,,Pro,21,0,0,True,False,False,False,monthly,True,Company_445,HealthTech,US,partner,False,2024-11-23,support,0.0,False,False,13.37,148763.0,,
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,Company_108,FinTech,CA,other,False,2024-03-30,features,0.0,False,False,7.56,319835.0,,
S-82989b,A-f5641b,2024-11-30,,Basic,31,589,7068,False,False,False,False,monthly,True,Company_382,EdTech,US,other,False,2024-06-17,features,0.0,False,False,0.69,119786.0,,
S-082b15,A-aa9511,2024-02-09,,Enterprise,97,19303,231636,False,False,False,False,annual,True,Company_203,DevTools,US,other,True,2023-10-17,competitor,0.0,False,False,,,,
S-434140,A-075038,2024-02-25,,Pro,17,833,9996,False,False,False,False,annual,True,Company_397,HealthTech,UK,ads,False,2024-09-05,features,6.38,False,False,15.83,158466.0,,
S-c07ede,A-cea1f0,2024-10-07,,Pro,8,392,4704,False,False,False,False,annual,False,Company_273,FinTech,US,event,False,,,,,,8.8,24123.0,0.31,Low
S-287914,A-a1b80b,2024-08-15,,Pro,16,784,9408,False,False,False,False,annual,True,Company_184,HealthTech,US,organic,False,,,,,,13.14,205002.0,0.39,Low
S-b3bd43,A-b2225d,2024-11-03,,Pro,50,2450,29400,False,False,False,False,monthly,False,Company_50,FinTech,US,ads,False,2024-03-31,pricing,0.0,False,False,0.76,90362.0,,
S-4c82da,A-b9eed8,2024-08-01,,Pro,11,539,6468,False,False,False,False,monthly,False,Company_189,Cybersecurity,US,organic,False,,,,,,10.25,62150.0,0.21,Low
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,Company_288,FinTech,US,event,False,,,,,,6.14,37810.0,0.49,Medium
S-b5643b,A-9f9299,2024-06-11,,Enterprise,28,5572,66864,False,False,False,False,annual,False,Company_133,FinTech,US,organic,True,2024-03-24,features,0.0,False,False,,,,
S-49a9aa,A-10b8f2,2023-06-16,,Basic,51,969,11628,False,False,False,False,annual,True,Company_151,HealthTech,DE,organic,True,2024-06-04,support,0.0,True,False,,,,
S-2877e6,A-95b24a,2024-06-28,,Enterprise,38,0,0,True,True,True,False,monthly,True,Company_117,FinTech,US,event,False,,,,,,18.86,272174.0,0.14,Low
S-8c10c1,A-0651a4,2024-12-25,,Enterprise,65,12935,155220,False,False,False,False,annual,True,Company_255,HealthTech,FR,organic,False,2024-12-25,support,0.0,False,False,1.22,63838.0,,
S-d7d398,A-fb186e,2024-12-28,,Enterprise,29,0,0,True,False,False,False,annual,True,Company_131,EdTech,IN,organic,False,,,,,,2.14,4617.0,0.57,Medium
S-ddad91,A-40906c,2024-06-21,,Enterprise,92,0,0,True,False,False,False,annual,False,Company_235,EdTech,US,ads,False,,,,,,9.17,209098.0,0.3,Low
S-6762fa,A-40a557,2024-02-12,,Enterprise,16,3184,38208,False,False,False,False,annual,True,Company_86,Cybersecurity,AU,partner,True,2023-12-08,budget,0.0,False,False,,,,
S-bb1cf1,A-3a5ad8,2024-09-07,,Enterprise,9,0,0,True,True,False,False,monthly,False,Company_94,HealthTech,US,organic,True,,,,,,,,,
S-a805a5,A-2789e3,2024-09-18,,Basic,33,627,7524,False,False,False,False,monthly,True,Company_268,FinTech,US,partner,False,,,,,,3.55,37398.0,0.74,High
S-da0a69,A-49b828,2023-05-11,,Pro,6,294,3528,False,False,False,False,monthly,True,Company_391,FinTech,IN,ads,False,,,,,,19.91,297277.0,0.14,Low
S-59c5d7,A-c16b88,2024-10-19,,Basic,35,665,7980,False,True,False,False,monthly,True,Company_431,HealthTech,US,event,False,2024-06-01,competitor,0.0,True,False,5.98,69390.0,,
S-d3faae,A-5c9849,2024-11-12,,Basic,19,361,4332,False,False,False,False,monthly,True,Company_362,EdTech,IN,partner,False,2024-11-13,unknown,0.0,False,True,0.33,40551.0,,
S-73a4e4,A-993085,2024-09-09,,Pro,31,1519,18228,False,False,False,False,monthly,True,Company_258,HealthTech,US,ads,True,2024-01-21,features,0.0,False,False,,,,
S-35c8a3,A-e4144b,2024-12-22,,Enterprise,41,8159,97908,False,False,False,False,annual,True,Company_316,EdTech,UK,other,False,,,,,,2.3,41394.0,0.5,Medium
S-99fbf7,A-7dacce,2024-09-10,,Enterprise,12,2388,28656,False,False,False,False,annual,True,Company_8,Cybersecurity,CA,event,False,2024-12-08,features,0.0,True,False,0.26,44851.0,,
S-e97b9f,A-a0ca4e,2024-03-16,,Enterprise,12,2388,28656,False,False,False,False,annual,True,Company_6,Cybersecurity,US,ads,False,,,,,,9.79,57747.0,0.36,Low
S-763d33,A-ef84cf,2024-07-25,,Basic,23,437,5244,False,False,True,False,annual,False,Company_274,EdTech,US,partner,False,2024-11-20,support,0.0,False,False,8.67,46373.0,,
S-323782,A-7920cc,2024-02-22,,Basic,39,741,8892,False,False,False,False,monthly,True,Company_412,Cybersecurity,FR,ads,False,,,,,,13.27,264996.0,0.21,Low
S-1cff18,A-2789e3,2024-10-03,,Basic,11,209,2508,False,False,False,False,monthly,True,Company_268,FinTech,US,partner,False,,,,,,3.55,37398.0,0.74,High
S-ad39ef,A-e40f45,2024-08-25,,Pro,21,0,0,True,True,False,False,annual,True,Company_317,HealthTech,US,organic,False,2024-11-09,budget,101.23,False,False,6.73,63416.0,,
S-bf806d,A-7c5768,2024-09-21,,Basic,62,1178,14136,False,False,False,False,annual,True,Company_407,HealthTech,UK,event,False,,,,,,9.99,14633.0,0.39,Low
S-36f6ec,A-ccb686,2024-08-16,,Pro,21,1029,12348,False,True,False,False,monthly,True,Company_491,DevTools,US,other,False,2024-06-22,budget,0.0,True,False,4.99,94018.0,,
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,True,False,False,True,monthly,True,Company_356,Cybersecurity,US,other,False,,,,,,19.15,239491.0,0.13,Low
S-b9fc6c,A-2ebb4b,2023-06-16,,Basic,41,779,9348,False,False,False,False,annual,True,Company_334,HealthTech,US,ads,False,2023-08-04,pricing,0.0,False,False,2.66,259524.0,,
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,Company_194,Cybersecurity,UK,event,False,,,,,,6.57,32207.0,0.22,Low
S-e912e6,A-a8d89d,2023-12-12,,Enterprise,78,15522,186264,False,False,False,False,monthly,True,Company_326,EdTech,US,ads,False,2024-01-18,features,0.0,False,False,1.35,210448.0,,
S-fef85a,A-7f8241,2024-08-06,,Pro,34,1666,19992,False,False,False,False,annual,True,Company_42,EdTech,US,organic,False,,,,,,21.62,366446.0,0.08,Low
S-36d5c9,A-54ecc2,2023-09-16,,Enterprise,11,2189,26268,False,False,False,False,monthly,True,Company_289,Cybersecurity,US,partner,False,2024-09-12,unknown,0.0,True,False,15.08,94595.0,,
